character,category,url,filepath,character_encoder
灞,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E26D.svg,hanzi_img/灞\jiaguwen-44_E26D.jpg,627
麟,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E417.svg,hanzi_img/麟\jiaguwen-43_E417.jpg,998
麟,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E418.svg,hanzi_img/麟\jiaguwen-43_E418.jpg,998
霾,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EAB0.svg,hanzi_img/霾\jiaguwen-43_EAB0.jpg,955
夔,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E9F8.svg,hanzi_img/夔\jiaguwen-42_E9F8.jpg,263
麝,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E27E.svg,hanzi_img/麝\jiaguwen-44_E27E.jpg,997
霸,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E26E.svg,hanzi_img/霸\jiaguwen-44_E26E.jpg,954
霸,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E26D.svg,hanzi_img/霸\jiaguwen-44_E26D.jpg,954
鼍,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F23C.svg,hanzi_img/鼍\jiaguwen-43_F23C.jpg,1005
霰,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EAA7.svg,hanzi_img/霰\jiaguwen-43_EAA7.jpg,953
霰,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EAA8.svg,hanzi_img/霰\jiaguwen-43_EAA8.jpg,953
蘖,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E270.svg,hanzi_img/蘖\jiaguwen-44_E270.jpg,833
疆,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F33D.svg,hanzi_img/疆\jiaguwen-43_F33D.jpg,683
蠋,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E2E3.svg,hanzi_img/蠋\jiaguwen-44_E2E3.jpg,845
曝,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E5D7.svg,hanzi_img/曝\jiaguwen-42_E5D7.jpg,509
曝,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F4F9.svg,hanzi_img/曝\jiaguwen-45_F4F9.jpg,509
曝,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_ED93.svg,hanzi_img/曝\jiaguwen-45_ED93.jpg,509
麓,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EB5D.svg,hanzi_img/麓\jiaguwen-42_EB5D.jpg,996
麓,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EB5F.svg,hanzi_img/麓\jiaguwen-42_EB5F.jpg,996
麓,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EB61.svg,hanzi_img/麓\jiaguwen-42_EB61.jpg,996
孽,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E3FE.svg,hanzi_img/孽\jiaguwen-45_E3FE.jpg,317
孽,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E3FF.svg,hanzi_img/孽\jiaguwen-45_E3FF.jpg,317
彝,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F10D.svg,hanzi_img/彝\jiaguwen-43_F10D.jpg,414
彝,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F106.svg,hanzi_img/彝\jiaguwen-43_F106.jpg,414
彝,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F10E.svg,hanzi_img/彝\jiaguwen-43_F10E.jpg,414
璧,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E2AA.svg,hanzi_img/璧\jiaguwen-44_E2AA.jpg,665
璧,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E2B2.svg,hanzi_img/璧\jiaguwen-44_E2B2.jpg,665
镬,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F3AB.svg,hanzi_img/镬\jiaguwen-43_F3AB.jpg,923
嚚,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E3E5.svg,hanzi_img/嚚\jiaguwen-45_E3E5.jpg,234
蟮,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E28D.svg,hanzi_img/蟮\jiaguwen-44_E28D.jpg,844
瞽,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F6BF.svg,hanzi_img/瞽\jiaguwen-42_F6BF.jpg,715
瞽,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F6C0.svg,hanzi_img/瞽\jiaguwen-42_F6C0.jpg,715
瞽,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F6C1.svg,hanzi_img/瞽\jiaguwen-42_F6C1.jpg,715
鬃,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F5FC.svg,hanzi_img/鬃\jiaguwen-42_F5FC.jpg,979
翼,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F5BF.svg,hanzi_img/翼\jiaguwen-41_F5BF.jpg,779
臀,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EB44.svg,hanzi_img/臀\jiaguwen-45_EB44.jpg,799
臀,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EBDD.svg,hanzi_img/臀\jiaguwen-45_EBDD.jpg,799
濞,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E928.svg,hanzi_img/濞\jiaguwen-43_E928.jpg,626
馘,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F438.svg,hanzi_img/馘\jiaguwen-45_F438.jpg,970
馘,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F43D.svg,hanzi_img/馘\jiaguwen-45_F43D.jpg,970
糠,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F0EB.svg,hanzi_img/糠\jiaguwen-42_F0EB.jpg,755
糠,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F0E3.svg,hanzi_img/糠\jiaguwen-42_F0E3.jpg,755
糠,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F0E9.svg,hanzi_img/糠\jiaguwen-42_F0E9.jpg,755
麋,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E419.svg,hanzi_img/麋\jiaguwen-43_E419.jpg,995
麋,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E424.svg,hanzi_img/麋\jiaguwen-43_E424.jpg,995
膺,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E6DB.svg,hanzi_img/膺\jiaguwen-45_E6DB.jpg,798
膺,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E6DC.svg,hanzi_img/膺\jiaguwen-45_E6DC.jpg,798
襄,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EC9F.svg,hanzi_img/襄\jiaguwen-45_EC9F.jpg,854
燮,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EF0C.svg,hanzi_img/燮\jiaguwen-41_EF0C.jpg,636
貔,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E276.svg,hanzi_img/貔\jiaguwen-44_E276.jpg,873
爵,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E742.svg,hanzi_img/爵\jiaguwen-42_E742.jpg,639
爵,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E751.svg,hanzi_img/爵\jiaguwen-42_E751.jpg,639
爵,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E74F.svg,hanzi_img/爵\jiaguwen-42_E74F.jpg,639
龠,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EB3A.svg,hanzi_img/龠\jiaguwen-41_EB3A.jpg,1015
龠,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EB44.svg,hanzi_img/龠\jiaguwen-41_EB44.jpg,1015
龠,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EB4B.svg,hanzi_img/龠\jiaguwen-41_EB4B.jpg,1015
簋,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E6C1.svg,hanzi_img/簋\jiaguwen-42_E6C1.jpg,751
簋,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E6C2.svg,hanzi_img/簋\jiaguwen-42_E6C2.jpg,751
簋,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E6C5.svg,hanzi_img/簋\jiaguwen-42_E6C5.jpg,751
穗,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F0DC.svg,hanzi_img/穗\jiaguwen-42_F0DC.jpg,740
穗,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F0DD.svg,hanzi_img/穗\jiaguwen-42_F0DD.jpg,740
龋,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EB1A.svg,hanzi_img/龋\jiaguwen-41_EB1A.jpg,1012
懋,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F5BF.svg,hanzi_img/懋\jiaguwen-45_F5BF.jpg,435
檀,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EB10.svg,hanzi_img/檀\jiaguwen-42_EB10.jpg,558
藁,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA85.svg,hanzi_img/藁\jiaguwen-42_EA85.jpg,832
羲,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F279.svg,hanzi_img/羲\jiaguwen-45_F279.jpg,773
麇,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E44B.svg,hanzi_img/麇\jiaguwen-43_E44B.jpg,994
麇,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E449.svg,hanzi_img/麇\jiaguwen-43_E449.jpg,994
麇,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E451.svg,hanzi_img/麇\jiaguwen-43_E451.jpg,994
廪,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E939.svg,hanzi_img/廪\jiaguwen-42_E939.jpg,397
廪,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E93A.svg,hanzi_img/廪\jiaguwen-42_E93A.jpg,397
廪,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E93D.svg,hanzi_img/廪\jiaguwen-42_E93D.jpg,397
劓,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E26E.svg,hanzi_img/劓\jiaguwen-42_E26E.jpg,152
劓,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E270.svg,hanzi_img/劓\jiaguwen-42_E270.jpg,152
盥,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E628.svg,hanzi_img/盥\jiaguwen-42_E628.jpg,706
穆,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E272.svg,hanzi_img/穆\jiaguwen-44_E272.jpg,739
穆,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E273.svg,hanzi_img/穆\jiaguwen-44_E273.jpg,739
穆,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E275.svg,hanzi_img/穆\jiaguwen-44_E275.jpg,739
霍,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E05E.svg,hanzi_img/霍\jiaguwen-42_E05E.jpg,952
霍,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E063.svg,hanzi_img/霍\jiaguwen-42_E063.jpg,952
橐,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E9B2.svg,hanzi_img/橐\jiaguwen-45_E9B2.jpg,556
橐,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E9B1.svg,hanzi_img/橐\jiaguwen-45_E9B1.jpg,556
橹,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EDD0.svg,hanzi_img/橹\jiaguwen-45_EDD0.jpg,557
噩,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E737.svg,hanzi_img/噩\jiaguwen-41_E737.jpg,233
噩,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E742.svg,hanzi_img/噩\jiaguwen-41_E742.jpg,233
燕,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EF8C.svg,hanzi_img/燕\jiaguwen-45_EF8C.jpg,635
燕,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EF8D.svg,hanzi_img/燕\jiaguwen-45_EF8D.jpg,635
燕,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EF95.svg,hanzi_img/燕\jiaguwen-45_EF95.jpg,635
磬,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E203.svg,hanzi_img/磬\jiaguwen-43_E203.jpg,720
磬,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E208.svg,hanzi_img/磬\jiaguwen-43_E208.jpg,720
磬,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E20D.svg,hanzi_img/磬\jiaguwen-43_E20D.jpg,720
熹,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E579.svg,hanzi_img/熹\jiaguwen-43_E579.jpg,634
擂,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EA86.svg,hanzi_img/擂\jiaguwen-43_EA86.jpg,463
擂,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EA85.svg,hanzi_img/擂\jiaguwen-43_EA85.jpg,463
擂,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EA8B.svg,hanzi_img/擂\jiaguwen-43_EA8B.jpg,463
髭,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EEA0.svg,hanzi_img/髭\jiaguwen-45_EEA0.jpg,978
嬉,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EE0C.svg,hanzi_img/嬉\jiaguwen-43_EE0C.jpg,307
履,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E25A.svg,hanzi_img/履\jiaguwen-44_E25A.jpg,361
寮,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F33B.svg,hanzi_img/寮\jiaguwen-42_F33B.jpg,344
澈,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F1D2.svg,hanzi_img/澈\jiaguwen-41_F1D2.jpg,625
澈,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F1D4.svg,hanzi_img/澈\jiaguwen-41_F1D4.jpg,625
潦,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E8AD.svg,hanzi_img/潦\jiaguwen-43_E8AD.jpg,623
潭,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E946.svg,hanzi_img/潭\jiaguwen-43_E946.jpg,624
憋,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E22C.svg,hanzi_img/憋\jiaguwen-42_E22C.jpg,434
翦,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EF08.svg,hanzi_img/翦\jiaguwen-43_EF08.jpg,778
翦,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EF31.svg,hanzi_img/翦\jiaguwen-43_EF31.jpg,778
翦,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EF32.svg,hanzi_img/翦\jiaguwen-43_EF32.jpg,778
鲧,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EB2C.svg,hanzi_img/鲧\jiaguwen-43_EB2C.jpg,986
徵,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EBB4.svg,hanzi_img/徵\jiaguwen-45_EBB4.jpg,426
徵,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_EBB2.svg,hanzi_img/徵\jiaguwen-45_EBB2.jpg,426
德,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E9A1.svg,hanzi_img/德\jiaguwen-41_E9A1.jpg,427
德,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E9A3.svg,hanzi_img/德\jiaguwen-41_E9A3.jpg,427
稼,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E95F.svg,hanzi_img/稼\jiaguwen-42_E95F.jpg,738
稼,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E967.svg,hanzi_img/稼\jiaguwen-42_E967.jpg,738
镉,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EDC7.svg,hanzi_img/镉\jiaguwen-41_EDC7.jpg,922
镉,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EDC9.svg,hanzi_img/镉\jiaguwen-41_EDC9.jpg,922
镉,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EDCA.svg,hanzi_img/镉\jiaguwen-41_EDCA.jpg,922
暴,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E5D7.svg,hanzi_img/暴\jiaguwen-42_E5D7.jpg,508
暴,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F4F9.svg,hanzi_img/暴\jiaguwen-45_F4F9.jpg,508
暴,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_ED93.svg,hanzi_img/暴\jiaguwen-45_ED93.jpg,508
震,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E98E.svg,hanzi_img/震\jiaguwen-41_E98E.jpg,951
墩,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E8F7.svg,hanzi_img/墩\jiaguwen-42_E8F7.jpg,255
墩,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E8FB.svg,hanzi_img/墩\jiaguwen-42_E8FB.jpg,255
翟,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E281.svg,hanzi_img/翟\jiaguwen-44_E281.jpg,777
隧,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F4C2.svg,hanzi_img/隧\jiaguwen-43_F4C2.jpg,940
隧,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F4C6.svg,hanzi_img/隧\jiaguwen-43_F4C6.jpg,940
褪,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA00.svg,hanzi_img/褪\jiaguwen-42_EA00.jpg,853
褪,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E2D1.svg,hanzi_img/褪\jiaguwen-44_E2D1.jpg,853
褪,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E9FC.svg,hanzi_img/褪\jiaguwen-42_E9FC.jpg,853
肇,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E294.svg,hanzi_img/肇\jiaguwen-44_E294.jpg,787
潢,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E88D.svg,hanzi_img/潢\jiaguwen-43_E88D.jpg,622
膂,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F338.svg,hanzi_img/膂\jiaguwen-42_F338.jpg,796
膏,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E232.svg,hanzi_img/膏\jiaguwen-42_E232.jpg,797
膏,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E234.svg,hanzi_img/膏\jiaguwen-42_E234.jpg,797
豪,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_E8B8.svg,hanzi_img/豪\jiaguwen-45_E8B8.jpg,870
孵,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_EDF9.svg,hanzi_img/孵\jiaguwen-41_EDF9.jpg,316
疑,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F5A1.svg,hanzi_img/疑\jiaguwen-42_F5A1.jpg,684
疑,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F5AB.svg,hanzi_img/疑\jiaguwen-42_F5AB.jpg,684
疑,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F5A9.svg,hanzi_img/疑\jiaguwen-42_F5A9.jpg,684
魅,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E1AE.svg,hanzi_img/魅\jiaguwen-43_E1AE.jpg,983
鼻,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F554.svg,hanzi_img/鼻\jiaguwen-41_F554.jpg,1009
舆,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F457.svg,hanzi_img/舆\jiaguwen-43_F457.jpg,808
毓,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F7C3.svg,hanzi_img/毓\jiaguwen-43_F7C3.jpg,573
毓,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F7C4.svg,hanzi_img/毓\jiaguwen-43_F7C4.jpg,573
毓,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F7D2.svg,hanzi_img/毓\jiaguwen-43_F7D2.jpg,573
箕,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E2CF.svg,hanzi_img/箕\jiaguwen-42_E2CF.jpg,750
箕,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E2DF.svg,hanzi_img/箕\jiaguwen-42_E2DF.jpg,750
犒,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA85.svg,hanzi_img/犒\jiaguwen-42_EA85.jpg,651
舞,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA06.svg,hanzi_img/舞\jiaguwen-42_EA06.jpg,810
舞,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA04.svg,hanzi_img/舞\jiaguwen-42_EA04.jpg,810
舞,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA05.svg,hanzi_img/舞\jiaguwen-42_EA05.jpg,810
蜴,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E340.svg,hanzi_img/蜴\jiaguwen-43_E340.jpg,843
蜴,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E344.svg,hanzi_img/蜴\jiaguwen-43_E344.jpg,843
蜴,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E361.svg,hanzi_img/蜴\jiaguwen-43_E361.jpg,843
墅,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F30D.svg,hanzi_img/墅\jiaguwen-43_F30D.jpg,253
辖,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F1AD.svg,hanzi_img/辖\jiaguwen-43_F1AD.jpg,889
辖,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F19A.svg,hanzi_img/辖\jiaguwen-43_F19A.jpg,889
辖,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F1A2.svg,hanzi_img/辖\jiaguwen-43_F1A2.jpg,889
臧,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_EF7C.svg,hanzi_img/臧\jiaguwen-43_EF7C.jpg,801
槁,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_EA85.svg,hanzi_img/槁\jiaguwen-42_EA85.jpg,555
蔡,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_E2BE.svg,hanzi_img/蔡\jiaguwen-41_E2BE.jpg,831
蔑,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F7E2.svg,hanzi_img/蔑\jiaguwen-41_F7E2.jpg,830
蔑,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F7E0.svg,hanzi_img/蔑\jiaguwen-41_F7E0.jpg,830
蔑,jiaguwen,https://img.zdic.net/zy/jiaguwen/45_F058.svg,hanzi_img/蔑\jiaguwen-45_F058.jpg,830
墉,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E8B4.svg,hanzi_img/墉\jiaguwen-42_E8B4.jpg,254
墉,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E8A5.svg,hanzi_img/墉\jiaguwen-42_E8A5.jpg,254
辔,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F133.svg,hanzi_img/辔\jiaguwen-43_F133.jpg,888
辔,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F134.svg,hanzi_img/辔\jiaguwen-43_F134.jpg,888
辟,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E13C.svg,hanzi_img/辟\jiaguwen-43_E13C.jpg,891
辟,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E131.svg,hanzi_img/辟\jiaguwen-43_E131.jpg,891
辟,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_E13E.svg,hanzi_img/辟\jiaguwen-43_E13E.jpg,891
寝,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F214.svg,hanzi_img/寝\jiaguwen-42_F214.jpg,343
寝,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F218.svg,hanzi_img/寝\jiaguwen-42_F218.jpg,343
寝,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F21E.svg,hanzi_img/寝\jiaguwen-42_F21E.jpg,343
塞,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_F26F.svg,hanzi_img/塞\jiaguwen-42_F26F.jpg,252
阖,jiaguwen,https://img.zdic.net/zy/jiaguwen/44_E28F.svg,hanzi_img/阖\jiaguwen-44_E28F.jpg,928
雍,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F764.svg,hanzi_img/雍\jiaguwen-41_F764.jpg,945
雍,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F74F.svg,hanzi_img/雍\jiaguwen-41_F74F.jpg,945
雍,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F756.svg,hanzi_img/雍\jiaguwen-41_F756.jpg,945
新,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F401.svg,hanzi_img/新\jiaguwen-43_F401.jpg,477
新,jiaguwen,https://img.zdic.net/zy/jiaguwen/43_F40D.svg,hanzi_img/新\jiaguwen-43_F40D.jpg,477
解,jiaguwen,https://img.zdic.net/zy/jiaguwen/42_E2C4.svg,hanzi_img/解\jiaguwen-42_E2C4.jpg,860
肄,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F068.svg,hanzi_img/肄\jiaguwen-41_F068.jpg,786
肄,jiaguwen,https://img.zdic.net/zy/jiaguwen/41_F069.svg,hanzi_img/肄\jiaguwen-41_F069.jpg,786
